File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
stm32g4xx_hal_uart.o,7.192158%,3918,0,3894,24,0,0
aurofoccomm.o,6.228431%,3393,1,3392,0,1,0
aurofoc.o,5.745649%,3130,7252,3078,0,52,7200
stm32g4xx_hal_pcd.o,5.492327%,2992,0,2992,0,0,0
stm32g4xx_hal_tim.o,5.426243%,2956,0,2956,0,0,0
m_wm.l,5.220648%,2844,0,2556,288,0,0
fz_wm.l,4.879213%,2658,0,2658,0,0,0
stm32g4xx_ll_usb.o,4.625890%,2520,0,2520,0,0,0
stm32g4xx_hal_adc.o,4.493722%,2448,0,2448,0,0,0
stm32g4xx_hal_adc_ex.o,3.366620%,1834,0,1834,0,0,0
stm32g4xx_hal_rcc.o,3.098612%,1688,0,1688,0,0,0
stm32g4xx_hal_spi.o,2.448785%,1334,0,1334,0,0,0
rred.o,2.349658%,1280,0,1080,200,0,0
usbd_ctlreq.o,2.322124%,1265,1,1264,0,1,0
tim.o,2.033923%,1108,304,1108,0,0,304
usbd_cdc.o,1.969675%,1073,271,802,0,271,0
stm32g4xx_hal_gpio.o,1.725531%,940,0,940,0,0,0
stm32g4xx_hal_fdcan.o,1.641090%,894,0,894,0,0,0
stm32g4xx_hal_tim_ex.o,1.534621%,836,0,836,0,0,0
daddsub_clz.o,1.516264%,826,0,826,0,0,0
stm32g4xx_hal_dma.o,1.292312%,704,0,704,0,0,0
ddiv.o,1.262941%,688,0,688,0,0,0
c_w.l,1.259270%,686,96,686,0,0,96
usbd_conf.o,1.255599%,684,1276,684,0,0,1276
usbd_core.o,1.196857%,652,0,652,0,0,0
stm32g4xx_hal_rcc_ex.o,1.189515%,648,0,648,0,0,0
adc.o,1.167487%,636,220,632,0,4,216
iic_bsp_drv.o,1.112417%,606,0,606,0,0,0
protocol.o,1.097731%,598,228,598,0,0,228
startup_stm32g431xx.o,0.983920%,536,10752,64,472,0,10752
as5047p_bsp_drv.o,0.939863%,512,0,512,0,0,0
usart.o,0.910493%,496,392,496,0,0,392
motorevent.o,0.844409%,460,404,460,0,0,404
cos_i.o,0.763639%,416,0,368,48,0,0
stm32g4xx_hal_uart_ex.o,0.693884%,378,0,362,16,0,0
usbd_desc.o,0.679198%,370,594,288,0,82,512
sin_i.o,0.631471%,344,0,304,40,0,0
dmul.o,0.624128%,340,0,340,0,0,0
poly.o,0.455246%,248,0,248,0,0,0
lludivv7m.o,0.436890%,238,0,238,0,0,0
fdcan.o,0.425876%,232,100,232,0,0,100
stm32g4xx_hal_pwr_ex.o,0.374477%,204,0,204,0,0,0
gpio.o,0.374477%,204,0,204,0,0,0
sin.o,0.367134%,200,0,200,0,0,0
cos.o,0.367134%,200,0,200,0,0,0
stm32g4xx_hal_cortex.o,0.363463%,198,0,198,0,0,0
spi.o,0.330421%,180,100,180,0,0,100
main.o,0.323078%,176,0,176,0,0,0
usbd_cdc_if.o,0.315735%,172,2068,152,0,20,2048
dnaninf.o,0.286365%,156,0,156,0,0,0
user_app.o,0.258830%,141,1,140,0,1,0
fnaninf.o,0.256994%,140,0,140,0,0,0
stm32g4xx_hal.o,0.253323%,138,12,126,0,12,0
usbd_ioreq.o,0.242309%,132,0,132,0,0,0
link_data.o,0.227623%,124,0,124,0,0,0
auropid.o,0.223952%,122,0,122,0,0,0
stm32g4xx_it.o,0.220280%,120,0,120,0,0,0
d2f.o,0.179896%,98,0,98,0,0,0
stm32g4xx_hal_pcd_ex.o,0.176224%,96,0,96,0,0,0
dfix.o,0.172553%,94,0,94,0,0,0
dfixu.o,0.165210%,90,0,90,0,0,0
__dczerorl2.o,0.165210%,90,0,90,0,0,0
f2d.o,0.157868%,86,0,86,0,0,0
dunder.o,0.154196%,84,0,84,0,0,0
dflt_clz.o,0.154196%,84,0,84,0,0,0
usb_device.o,0.154196%,84,720,84,0,0,720
rt_memclr_w.o,0.143182%,78,0,78,0,0,0
sys_stackheap_outer.o,0.135840%,74,0,74,0,0,0
dma.o,0.110140%,60,0,60,0,0,0
stm32g4xx_hal_msp.o,0.102798%,56,0,56,0,0,0
__scatter.o,0.095455%,52,0,52,0,0,0
fpclassify.o,0.088112%,48,0,48,0,0,0
system_stm32g4xx.o,0.080770%,44,4,16,24,4,0
__scatter_zi.o,0.051399%,28,0,28,0,0,0
fabs.o,0.044056%,24,0,24,0,0,0
basic.o,0.044056%,24,0,24,0,0,0
_rserrno.o,0.040385%,22,0,22,0,0,0
exit.o,0.033042%,18,0,18,0,0,0
dretinf.o,0.022028%,12,0,12,0,0,0
sys_exit.o,0.022028%,12,0,12,0,0,0
__rtentry2.o,0.022028%,12,0,12,0,0,0
fretinf.o,0.018357%,10,0,10,0,0,0
fpinit.o,0.018357%,10,0,10,0,0,0
rtexit2.o,0.018357%,10,0,10,0,0,0
rt_errno_addr_intlibspace.o,0.014685%,8,0,8,0,0,0
libspace.o,0.014685%,8,96,8,0,0,96
__main.o,0.014685%,8,0,8,0,0,0
lsm6ds3tr_bsp_drv.o,0.014685%,8,0,8,0,0,0
libinit2.o,0.011014%,6,0,6,0,0,0
heapauxi.o,0.011014%,6,0,6,0,0,0
__rtentry4.o,0.011014%,6,0,6,0,0,0
use_no_semi.o,0.003671%,2,0,2,0,0,0
rtexit.o,0.003671%,2,0,2,0,0,0
libshutdown2.o,0.003671%,2,0,2,0,0,0
libshutdown.o,0.003671%,2,0,2,0,0,0
libinit.o,0.003671%,2,0,2,0,0,0
